-722.464783 -385.007996 -353.068298, 160.316757 594.046997 -619.074219, 188.736923 728.165527 -617.722839, -583.752502 -506.573639 -485.745422, 335.293030 593.254028 -609.821472, 638.207092 -576.233948 308.233215, 489.863373 -433.253601 455.112061, -662.271545 -370.646393 -495.705048, 312.950012 722.589355 -773.626160, 645.845398 -448.263062 382.276581, 325.829987 728.636169 -636.755859, -726.434204 -524.169067 -422.976349, 626.446045 -427.498932 475.503204, -100.762009 -307.730713 206.081482, 493.968811 -596.877991 317.313293, 507.019348 -503.416412 318.698334, 493.464264 -406.330811 316.564606, 178.134232 585.289917 -770.108704, 500.636505 -573.209778 455.828735, 641.978638 -573.822876 454.363892, -224.482941 -422.220856 199.677963, -579.498047 -441.642059 -345.051331, -121.931938 -276.476440 53.146225, 252.937103 575.524170 -661.349121, -245.835205 -380.234985 46.046009, 172.830429 726.275574 -757.255615, -98.048149 -429.953491 99.797501, -248.763824 -268.592041 167.310394, 633.969177 -426.697968 287.210876, 327.130219 582.870850 -766.248657, 
-722.087830 -383.888062 -353.482422, 160.437088 592.320740 -618.829163, 186.548111 727.505798 -618.748901, -584.484680 -507.109283 -485.945831, 335.907867 591.204651 -611.136292, 638.551758 -576.232422 308.231384, 490.736542 -432.026031 454.708435, -662.147400 -370.974213 -495.996155, 313.949402 722.800598 -771.987366, 643.129517 -446.890381 382.903076, 324.665222 728.316040 -634.011047, -726.721863 -523.931396 -421.665283, 628.696899 -428.663147 477.171051, -100.447227 -307.482574 205.749756, 494.495422 -596.919556 316.996338, 507.032623 -503.450653 319.165680, 493.514832 -406.518158 314.793976, 178.006409 584.808228 -770.162720, 500.138611 -572.725159 455.801849, 641.768066 -574.362793 454.096313, -223.413498 -422.130127 200.477585, -579.230347 -441.560822 -345.306274, -122.940033 -276.295746 52.768768, 252.490936 578.073425 -661.684509, -246.117081 -381.689056 46.771259, 173.386368 725.899841 -758.272888, -97.976097 -429.663666 98.885681, -248.922546 -268.669617 167.040924, 635.224365 -427.374603 286.925812, 326.816956 582.873657 -767.044495, 
-721.883484 -383.038666 -353.797150, 160.491455 590.892639 -618.932007, 184.408478 727.089539 -619.619263, -585.124817 -507.698608 -486.052246, 336.267487 589.661743 -612.222107, 638.856873 -576.094849 308.395752, 491.475220 -431.026489 454.470764, -662.021729 -371.216003 -496.222412, 314.651337 723.130127 -770.612244, 641.162781 -445.584564 383.411652, 323.344391 727.816650 -631.532043, -726.947388 -523.690430 -420.599152, 630.510437 -429.843170 478.141724, -100.340012 -307.234131 205.441589, 495.035553 -596.957153 316.672729, 506.870178 -503.423462 319.665955, 493.555756 -406.750000 313.452393, 177.907028 584.570740 -770.140137, 499.685638 -572.277893 455.754852, 641.520020 -574.768799 453.606964, -222.508621 -422.172363 200.887344, -579.112610 -441.416626 -345.477905, -123.591850 -276.162598 52.493767, 252.262375 580.104431 -661.856567, -246.340805 -382.587860 47.244923, 173.896729 725.696228 -759.053406, -97.755821 -429.384552 98.173874, -249.055588 -268.647156 166.741669, 636.248169 -428.193970 286.798157, 326.345337 582.855591 -767.779236, 
-721.790466 -382.361725 -354.046600, 160.641006 589.727539 -618.694458, 183.479385 727.003967 -620.246704, -585.846069 -508.306244 -486.187378, 336.367645 588.481567 -612.982239, 639.059875 -575.878113 308.506958, 492.037354 -430.221130 454.212891, -661.807007 -371.372498 -496.404327, 315.383453 723.358643 -769.444275, 639.622559 -444.163269 383.698547, 323.120422 727.511658 -630.104736, -727.196472 -523.421265 -419.757294, 631.995056 -430.731201 478.942810, -100.282448 -306.975220 205.186478, 495.399261 -596.971375 316.438385, 506.568359 -503.432922 320.350372, 493.805115 -406.917023 312.152435, 177.643341 584.334106 -769.992493, 499.406311 -571.921936 455.957581, 641.245605 -575.078979 453.226288, -221.676819 -422.266571 201.231735, -578.963501 -441.413849 -345.741058, -124.142380 -276.095886 52.176655, 252.159622 581.919983 -661.997253, -246.433456 -383.576263 47.586475, 174.608688 725.386536 -759.913513, -97.639572 -429.110596 97.547798, -249.190430 -268.653076 166.346436, 637.163818 -428.951599 286.552338, 325.880127 582.949951 -768.228210, 
-721.605225 -381.867035 -354.192993, 160.979187 588.733093 -618.428955, 182.521301 726.726013 -620.624146, -586.360168 -508.703705 -486.127258, 336.389679 587.440857 -613.573120, 639.081787 -575.792908 308.701691, 492.517120 -429.501373 454.002411, -661.559021 -371.514679 -496.513214, 315.892944 723.507996 -768.637817, 638.408691 -442.912872 383.881317, 322.783203 727.522278 -628.815002, -727.369934 -523.304199 -419.058044, 632.991821 -431.253082 479.507965, -100.265083 -306.657715 204.933731, 495.652283 -596.931335 316.227264, 506.283875 -503.438721 320.984100, 493.853760 -407.101685 311.130737, 177.377823 584.306274 -769.843262, 499.049011 -571.552551 456.089233, 641.175171 -575.132812 452.899506, -221.028961 -422.378235 201.458603, -578.833557 -441.396820 -345.802246, -124.601875 -276.074402 51.855530, 251.901413 584.075439 -662.312134, -246.449387 -384.205322 47.826759, 174.951538 725.490356 -760.306274, -97.447502 -428.884949 97.095673, -249.360550 -268.785706 166.159927, 637.834717 -429.584503 286.323059, 325.512390 582.989563 -768.562317, 
-721.408264 -381.341980 -354.404663, 161.309738 587.652832 -617.913513, 181.860931 726.611023 -620.942566, -586.495117 -508.862305 -486.087708, 336.146362 586.338257 -613.811035, 639.151367 -575.684082 308.799927, 492.712280 -429.019165 453.825867, -661.436768 -371.670197 -496.670380, 316.138458 723.570984 -768.128357, 637.518982 -441.954193 384.150177, 322.750488 727.401367 -628.073914, -727.305969 -523.159668 -418.609039, 633.775879 -431.739532 480.026703, -100.253563 -306.311249 204.675217, 495.861023 -596.911926 316.043152, 506.083405 -503.452698 321.409271, 493.835999 -407.150848 310.479309, 177.060226 584.254639 -769.649231, 498.886017 -571.271179 456.245544, 641.063477 -575.135864 452.653870, -220.433395 -422.439667 201.711639, -578.653809 -441.372498 -345.802856, -125.066269 -275.956543 51.582474, 251.672577 586.489075 -663.311096, -246.415314 -385.100677 48.099712, 175.258255 725.545410 -760.810059, -97.307304 -428.668030 96.746826, -249.514084 -268.874390 165.817780, 638.126160 -429.881775 286.250000, 325.299591 582.921448 -768.795105, 
-721.351135 -381.013611 -354.606628, 161.940994 586.642700 -617.388611, 181.423355 726.639709 -621.172852, -586.762573 -509.072174 -486.120300, 335.705139 585.476807 -613.690796, 639.206055 -575.529907 308.845734, 492.832489 -428.725128 453.831116, -661.355042 -371.766388 -496.816437, 316.330627 723.651550 -767.694580, 636.809814 -441.188141 384.176208, 322.816620 727.265198 -627.536682, -727.368591 -523.047852 -418.229279, 634.255859 -432.111786 480.166290, -100.279373 -305.964386 204.533112, 495.931152 -596.869568 316.037598, 506.001709 -503.364899 321.692352, 493.789948 -407.191498 310.086945, 176.615646 584.060425 -769.429626, 498.798370 -571.116638 456.333099, 641.038696 -575.181641 452.532227, -219.999039 -422.427155 201.837265, -578.629700 -441.299835 -345.840515, -125.458145 -275.894928 51.438473, 251.690430 589.115723 -664.782104, -246.368866 -385.828278 48.283352, 175.339493 725.565613 -761.192688, -97.153679 -428.535828 96.565094, -249.792145 -268.983765 165.450394, 638.339722 -430.189056 286.152557, 325.203522 582.692017 -768.967346, 
-721.281921 -380.639404 -354.919403, 162.840530 585.834961 -616.768188, 180.998337 726.663025 -621.418640, -586.865295 -509.216431 -486.075867, 334.904236 584.294861 -613.506470, 639.192139 -575.497559 308.901672, 492.922699 -428.540009 453.861481, -661.204895 -371.881653 -497.008240, 316.411346 723.720520 -767.323669, 636.223328 -440.499786 384.066742, 322.796509 727.082825 -627.014099, -727.385559 -522.973450 -417.940094, 634.687317 -432.498627 480.190552, -100.345741 -305.709259 204.455780, 495.953857 -596.858459 316.073730, 505.844360 -503.357697 321.916168, 493.919281 -407.165863 309.798920, 176.208481 583.854553 -769.406250, 498.691284 -570.988525 456.461212, 641.000671 -575.134644 452.384155, -219.514404 -422.507690 201.964218, -578.558350 -441.226746 -345.907013, -125.631805 -275.898773 51.321419, 251.647781 591.677490 -667.098694, -246.245560 -386.528107 48.418789, 175.359695 725.551025 -761.428589, -97.015381 -428.456238 96.357452, -250.057022 -269.142059 164.967865, 638.594360 -430.429047 286.092285, 325.196838 582.500183 -769.241089, 
-721.251770 -380.117645 -355.221649, 163.924362 585.321594 -616.433289, 180.520554 726.651550 -621.644897, -586.922180 -509.283478 -486.045380, 334.144867 583.110718 -613.502930, 639.151672 -575.395691 308.904907, 492.857727 -428.436401 453.833740, -661.142883 -371.967743 -497.135040, 316.635376 723.848999 -767.231995, 635.679932 -439.830750 384.014740, 322.843719 726.925354 -626.485962, -727.417908 -522.826721 -417.564514, 634.855835 -432.685669 480.344910, -100.367210 -305.453461 204.367691, 495.983276 -596.867554 316.107605, 505.714294 -503.331329 322.072723, 493.835205 -407.137329 309.520844, 175.873276 583.643005 -769.402710, 498.678223 -570.825500 456.571777, 640.989746 -575.104736 452.222107, -219.161591 -422.541656 202.083557, -578.546936 -441.121521 -345.940277, -125.898537 -275.897583 51.226673, 251.831497 594.165283 -669.689636, -246.206497 -386.950714 48.485577, 175.363602 725.562500 -761.717957, -96.819168 -428.318329 96.284615, -250.248856 -269.337189 164.819702, 638.800781 -430.665894 285.899902, 325.267212 582.442139 -769.537354, 
-721.255249 -379.848175 -355.413086, 165.107330 584.981995 -615.949463, 180.228806 726.624817 -621.888062, -587.012939 -509.325531 -486.038788, 333.120300 581.979370 -613.496887, 639.072083 -575.217346 308.892212, 492.785431 -428.362518 453.837280, -661.176392 -372.088287 -497.251343, 316.776459 723.949707 -767.039368, 635.389771 -439.343140 384.034363, 322.943115 726.737305 -626.104736, -727.299438 -522.846985 -417.144318, 634.996765 -432.756287 480.487427, -100.336334 -304.989807 204.199432, 496.026642 -596.826538 316.065033, 505.491577 -503.251617 322.190765, 494.040619 -407.116974 309.408722, 175.365509 583.421265 -769.500000, 498.725433 -570.713684 456.612396, 641.003052 -575.067749 452.081360, -218.792465 -422.609894 202.199615, -578.478455 -440.948669 -345.942841, -126.117462 -275.982452 51.093922, 251.850250 596.679626 -672.861816, -246.151611 -387.142242 48.554783, 175.381012 725.692444 -762.045837, -96.710670 -428.245483 96.295349, -250.401932 -269.446075 164.749573, 639.059875 -430.952362 285.766052, 325.368073 582.258057 -769.797668, 
